,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics
0,6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169,198973.0,4.0,"  [Intro] And they wishin' and wishin' and wishin' and wishin' They wishin' on me, yuh  [Verse 1] I been movin' calm, don't start no trouble with me Tryna keep it peaceful is a struggle for me Don't pull up at 6 AM to cuddle with me You know how I like it when you lovin' on me I don't wanna die for them to miss me Yes, I see the things that they wishin' on me Hope I got some brothers that outlive me They gon' tell the story, shit was different with me  [Chorus] God's plan, God's plan I hold back, sometimes I won't, yuh I feel good, sometimes I don't, ayy, don't I finessed down Weston Road, ayy, 'nessed Might go down a G.O.D., yeah, wait I go hard on Southside G, yuh, wait I make sure that north-side eat  [Post-Chorus] And still, bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Yuh, ayy, ayy  [Verse 2] She say, ""Do you love me?"" I tell her, ""Only partly I only love my bed and my mama, I'm sorry"" Fifty Dub, I even got it tatted on me 81, they'll bring the crashers to the party And you know me Turn the O2 into the O3, dog Without 40, Oli, there'd be no me 'Magine if I never met the broskies  [Chorus] God's plan, God's plan I can't do this on my own, ayy, no, ayy Someone watchin' this shit close, yep, close I've been me since Scarlett Road, ayy, road, ayy Might go down as G.O.D., yeah, wait I go hard on Southside G, ayy, wait I make sure that north-side eat, yuh  [Post-Chorus] And still, bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me, yeah, yeah Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me, yeah"
1,3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.12300000000000001,0.473,75.023,166606.0,4.0,"  [Intro] Yeah  [Chorus] Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah  [Verse] I gave her everything She took my heart and left me lonely I think broken heart's contagious I won't fix, I'd rather weep I'm lost then I'm found But it's torture bein' in love I love when you're around But I fuckin' hate when you leave  [Chorus] Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah  [Instrumental Bridge]  [Chorus] Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah"
2,0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.5870000000000001,0.535,5.0,-6.09,0.0,0.0898,0.11699999999999999,6.56e-05,0.131,0.14,159.847,218147.0,4.0,"  [Intro: Post Malone] Hahahahaha Tank God Ayy, ayy  [Chorus: Post Malone] I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (Star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta) Fuckin' with me, call up on a Uzi And show up, man, them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy)  [Verse 1: Post Malone] Switch my whip, came back in black I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy) Close that door, we blowin' smoke She ask me light a fire like I'm Morrison ('Son, ayy) Act a fool on stage Prolly leave my fuckin' show in a cop car (Car, ayy) Shit was legendary Threw a TV out the window of the Montage Cocaine on the table, liquor pourin', don't give a damn Dude, your girlfriend is a groupie, she just tryna get in Sayin', ""I'm with the band"" (Ayy, ayy) Now she actin' outta pocket, tryna grab up on my pants Hundred bitches in my trailer say they ain't got a man And they all brought a friend (Yeah, ayy, ayy, ayy)  [Chorus: Post Malone] I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (Star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta) Fuckin' with me, call up on a Uzi And show up, man, them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow)  [Verse 2: 21 Savage] I've been in the Hills fuckin' superstars Feelin' like a popstar (21, 21, 21) Drankin' Henny, bad bitches jumpin' in the pool And they ain't got on no bra (Bra) Hit her from the back, pullin' on her tracks And now she screamin' out, ""¡No más!"" (Yeah, yeah, yeah) They like, ""Savage, why you got a 12 car garage And you only got six cars?"" (21) I ain't with the cakin', how you kiss that? (Kiss that?) Your wifey say I'm lookin' like a whole snack (Big snack) Green hundreds in my safe, I got old racks (Old racks) L.A. bitches always askin', ""Where the coke at?"" (21, 21) Livin' like a rockstar, smash out on a cop car Sweeter than a Pop-Tart, you know you are not hard I done made the hot chart, 'member I used to trap hard Livin' like a rockstar, I'm livin' like a rockstar (Ayy)  [Chorus: Post Malone & 21 Savage] I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (Star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta, yeah, yeah, yeah, yeah) Fuckin' with me, call up on a Uzi And show up, man, them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, grrra-ta-ta-ta-ta)  [Outro: Post Malone] Star, star, rockstar, rockstar, star Rockstar Rockstar, feel just like a rock– Rockstar Rockstar Rockstar Feel just like a..."
3,3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,0.7390000000000001,0.5589999999999999,8.0,-8.011000000000001,1.0,0.11699999999999999,0.58,0.0,0.11199999999999999,0.439,140.124,221440.0,4.0,"  [Chorus: Post Malone] Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though  [Verse 1: Post Malone] You stuck in the friend zone, I tell that four-five the fifth, ayy Hunnid bands inside my shorts, DeChino the shit, ayy Try to stuff it all in, but it don't even fit, ayy Know that I been with the shits ever since a jit, ayy I made my first million, I'm like, ""Shit, this is it,"" ayy 30 for a walkthrough, man, we had that bitch lit, ayy Had so many bottles, gave ugly girl a sip Out the window of the Benzo, we get seen in the rent' And I'm like ""Whoa, man, my neck so goddamn cold” Diamonds wet, my t-shirt soaked I got homies, let it go, oh My money thick, won't ever fold She said, ""Can I have some to hold?"" And I can't ever tell you no  [Chorus: Post Malone] Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though  [Verse 2: Ty Dolla $ign] The AP goin' psycho, my Rollie goin' brazy I'm hittin' lil' mama, she wanna have my babies It's fifty on the pinky, chain so stanky You should see the whip, promise I can take yo' bitch Dolla ridin' in an old school Chevy, it's a drop top Boolin' with a thot-thot, she gon' give me top-top Just one switch, I can make the ass drop (Hey) Ayy, take you to the smoke shop We gon' get high, ayy, we gon' hit Rodeo Dial up Valentino, we gon' hit Pico Take you where I'm from, take you to the slums This ain't happen overnight, no, these diamonds real bright Saint Laurent jeans, still in my Vans though All VVS', put you in a necklace Girl, you look beautiful tonight Stars on the roof, they matching with the jewelry  [Chorus: Post Malone] Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though"
4,2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,0.835,0.626,1.0,-5.832999999999999,1.0,0.125,0.0589,5.9999999999999995e-05,0.396,0.35,91.03,217925.0,4.0,"  [Intro: Drake] Trap, TrapMoneyBenny This shit got me in my feelings Gotta be real with it, yeah  [Chorus: Drake] Kiki, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always KB, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always  [Verse: Drake] Look, the new me is really still the real me I swear you gotta feel me before they try and kill me They gotta make some choices, they runnin' out of options 'Cause I've been goin' off and they don't know when it's stoppin' And when you get to toppin', I see that you've been learnin' And when I take you shoppin', you spend it like you earned it And when you popped off on your ex he deserved it I thought you were the one from the jump that confirmed it TrapMoneyBenny I buy you Champagne but you love some Henny From the block like you Jenny I know you special, girl, 'cause I know too many  [Chorus: Drake] 'Resha, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always J.T., do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always  [Interlude: J.T, Yung Miami, Drake & Magnolia Shorty] Two bad bitches and we kissin' in the Wraith Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith I need that black card and the code to the safe Code to the safe, code-code to the safe-safe I show him how that neck work Fuck that Netflix and chill—what's your net-net-net worth? 'Cause I want ya, and I need ya And I'm down for you always Yeah, yeah, yeah, yeah, he bad And I'm down for you always Yeah, yeah, yeah, guess who's back And I'm down for you always D-down for you al– Black biggy biggy black biggy black blake D-d-down for you always I got a new boy, and that nigga trade!  [Chorus: Drake] Kiki, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want you, and I need you And I'm down for you always KB, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I–  [Breakdown: Lil Wayne & Magnolia Shorty] Skate and Smoke and Rap Now let me see you Bring that ass, bring that ass, bring that ass back! B-bring that ass, bring that ass, bring that ass back! Shawty say the nigga that she with can't hit But shawty, I'ma hit it, hit it like I can't miss Now let me see you Clap that ass, you're the only one I love Clap that ass, clap-clap that ass! Bring that ass back! Clap-clap-clap that ass, you're the only one I love Let's go, let's go, let's go! Bring that ass back!  [Outro: Drake] Trap, TrapMoneyBenny This shit got me in my feelings Gotta be real with it, yup BlaqNmilD, you a genius, you diggin' me?  [Skit: Zazie Beetz] I don't even care, I need a photo with Drake Because my Instagram is weak as fuck I'm just being real, my shit, look,–"
5,7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,0.68,0.563,10.0,-5.843,1.0,0.0454,0.354,0.0,0.136,0.374,145.028,231267.0,4.0,"  [Chorus] You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh-oh  [Verse 1] I did not believe that it would end, no Everything came second to the Benzo You're not even speakin' to my friends, no You knew all my uncles and my aunts though Twenty candles, blow 'em out and open your eyes We were lookin' forward to the rest of our lives Used to keep my picture posted by your bedside Now it's in your dresser with the socks you don't like And I'm rollin', rollin', rollin', rollin' With my brothers like it's Jonas, Jonas Drinkin' Henny and I'm tryna forget But I can't get this shit outta my head  [Chorus] You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh-oh  [Verse 2] I seen you with your other dude He seemed like he was pretty cool I was so broken over you Life it goes on, what can you do? I just wonder what it’s gonna take (What it's gonna take) Another foreign or a bigger chain (Bigger chain) Because no matter how my life has changed I keep on looking back on better days  [Chorus] You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh-oh  [Bridge] I promise I swear to you, I'll be okay You're only the love of my life (Love of my life)  [Chorus] You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh-oh"
6,58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.37200000000000005,0.65,136.048,253390.0,4.0,"  [Intro] Yeah, baby, I like it like that You gotta believe me when I tell you I said I like it like that You gotta believe me when I tell you I said I like it like—  [Verse 1: Cardi B] Now I like dollars, I like diamonds I like stuntin', I like shinin' (Yeah) I like million dollar deals Where's my pen? Bitch I'm signin' (Signin') I like those Balenciagas (Those) The ones that look like socks I like going to the jeweler I put rocks all in my watch (Cha-ching) I like texts from my exes when they want a second chance (What?) I like proving niggas wrong I do what they say I can't They call me Cardi Bardi, banging body Spicy mami, hot tamale Hotter than a Somali, fur coat, Ferrari (Rrr, woo) Hop out the stu', jump in the coupe (Coupe) Big Dipper on top of the roof Flexing on bitches as hard as I can Eating halal, driving the Lam' Told that bitch I'm sorry though (Sorry though) 'Bout my coins like Mario (Mario) Yeah, they call me Cardi B I run this shit like cardio Woo, facts  [Chorus: Cardi B] Diamond district in the chain, chain (I said I like it like that) Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo) Drop the top and blow the brains, woo (Woo, I said I like it like that) Oh, he's so handsome, what's his name? Yeah (Woo, bags, I said I like it) Oh, I need the dollars, cha-ching (I said I like it like that) Beat it up like piñatas (I said I like it like—; uh) Tell the driver, close the curtains (I said I like it like that, skrrt) Bad bitch make you nervous (I said I like it) Cardi B  [Verse 2: Bad Bunny] Chambean, chambean, pero no jalan (¡Jalan!) Tú compras to'a las Jordan, bobo, a mí me las regalan (Jeje) I spend in the club what you have in the bank (¡Wuh; ¡yeh!) This is the new religion bang in Latino gang, gang, ¡yeh! Trato de hacer dieta, pero es que en el closet tengo mucha grasa (¡Yeh!; ¡wuh!) Ya mudé la' Gucci pa' dentro de casa, yeh (¡Wuh!) Cabrón, a ti no te conocen ni en Plaza (No) El Diablo me llama, pero Jesucristo me abraza (Amén) Guerrero como Eddie, que viva la raza, yeh Me gustan boricuas, me gustan cubanas Me gusta el acento de las colombianas (¿Qué hubo pues?) Como mueve el culo la dominicana (¿Qué lo que?) Lo rico que me chingan las venezolanas (¡Wuh!) Andamos activos, Perico Pin Pin (Wuh) Billetes de cien en el maletín (¡Ching!) Que retumbe el bajo, Bobby Valentín, yeh (¡Buh!) Aquí es prohibido amar, diles, Charytín Que pa'l picor les tengo Claritín Yo llego a la disco y se forma el motín (¡Rrrah!)  [Chorus: Cardi B, Bad Bunny] Diamond district in the chain (I said I like it like that) Bad Bunny baby, bebé, bebé Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo) Drop the top and blow the brains, woo (Woo, I said I like it like that) Oh, he's so handsome, what's his name? Yeah (Woo, yeh, I said I like it) Oh, I need the dollars, cha-ching (I said I like it like that) Beat it up like piñatas (I said I like it like—) Tell the driver, close the curtains (I said I like it like that, skrrt) Bad bitch make you nervous (I said I like it, that)  [Verse 3: J Balvin] Como Celia Cruz tengo el azúcar (Azúca') Tu jeva me vio y se fue de pecho como Jimmy Snuka (Ah) Te vamos a tumbar la peluca Y arranca pa'l carajo, cabrón, que a ti no te vo'a pasar la hookah (Hookah, hookah) Mis tenis Balenciaga me reciben en la entrada (Wuh) Pa-Pa-Paparazzi like I'm Lady Gaga (Wuh) Y no te me hagas (Eh) Que en cover de Billboard tú has visto mi cara (Eh) No salgo de tu mente (Wuh) Donde quieras que viajes has escuchado ""Mi Gente"" Yo no soy hype, soy como el Testarossa (Hype; 'rossa) Yo soy el que se la vive y también el que la goza (Goza, goza) Es la cosa, mami es la cosa (Cosa, cosa) El que mira sufre y el que toca goza (Goza, goza, goza)  [Bridge: J Balvin, Cardi B] I said I like it like that I said I like it like that (Rrr) I said I like it like that (Woo) I said I like it like that  [Chorus: Cardi B] Diamond district in the chain (I said I like it like that) Certified, you know I'm gang, gang (I said I like it like—) Drop the top and blow the brains, woo (I said I like it like that) Oh, he's so handsome, what's his name? Yeah (I said I like it)"
7,7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,0.7909999999999999,0.862,9.0,-3.24,0.0,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994,214847.0,4.0,"  [Intro] One kiss is all it takes Fallin' in love with me Possibilities I look like all you need  [Verse 1] Let me take the night, I love real easy And I know that you'll still wanna see me On the Sunday morning, music real loud Let me love you while the moon is still out  [Pre-Chorus] Something in you-ou-ou lit up heaven in me-e-e The feeling won't let me slee-ee-eep 'Cause I'm lost in the way you move, the way you feel  [Chorus] One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One kiss is all it takes Fallin' in love with me Possibilities I look like all you need  [Post-Chorus] One One One One  [Verse 2] I just wanna feel your skin on mine Feel your eyes do the exploring Passion in the message when you smile Take my time  [Pre-Chorus] Something in you-ou-ou lit up heaven in me-e-e The feeling won't let me slee-ee-eep 'Cause I'm lost in the way you move, the way you feel  [Chorus] One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One kiss is all it takes Fallin' in love with me Possibilities I look like all you need  [Post-Chorus] One One One One  [Bridge] See a wonderland in your eyes Might need your company tonight  [Pre-Chorus] Something in you-ou-ou lit up heaven in me-e-e The feeling won't let me slee-ee-eep 'Cause I'm lost in the way you move, the way you feel  [Chorus] One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One kiss is all it takes Fallin' in love with me Possibilities I look like all you need  [Post-Chorus] One One One One"
8,76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,217947.0,4.0,"  [Verse 1] You call me all friendly Tellin' me how much you miss me That's funny, I guess you've heard my songs Well, I'm too busy for your business Go find a girl who wants to listen 'Cause if you think I was born yesterday, you have got me wrong  [Pre-Chorus] So I cut you off I don't need your love 'Cause I already cried enough I've been done I've been movin' on since we said goodbye I cut you off I don't need your love So you can try all you want Your time is up, I'll tell you why  [Chorus] You say you're sorry, but it's too late now So save it, get gone, shut up 'Cause if you think I care about you now Well, boy, I don't give a fuck  [Verse 2] I remember that weekend When my best friend caught you creepin' You blamed it all on the alcohol So, I made my decision 'Cause you made your bed, sleep in it Play the victim and switch your position I'm through, I'm done  [Pre-Chorus] So I cut you off I don't need your love 'Cause I already cried enough I've been done I've been movin' on since we said goodbye I cut you off I don't need your love So you can try all you want Your time is up, I'll tell you why  [Chorus] You say you're sorry, but it's too late now So save it, get gone, shut up 'Cause if you think I care about you now Well, boy, I don't give a fuck  [Post-Chorus] I see you tryna get to me I see you beggin' on your knees Boy, I don't give a fuck So stop tryna get to me Tch, get up off your knees 'Cause, boy, I don't give a fuck  [Bridge] About you No, I don't give a damn You keep reminiscin' on when you were my man But I'm over you Now you're all in the past You talk all that sweet talk, but I ain't comin' back  [Breakdown] Cut you off I don't need your love So you can try all you want Your time is up, I'll tell you why I'll tell you why  [Chorus] You say you're sorry, but it's too late now So save it, get gone, shut up (Too late now) 'Cause if you think I care about you now Well, boy, I don't give a fuck (Boy, I don't give a)  [Post-Chorus] I see you tryna get to me I see you beggin' on your knees Boy, I don't give a fuck So stop tryna get to me (get to me) Tch, get up off your knees 'Cause, boy, I don't give a fuck"
9,08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,0.626,0.88,9.0,-2.384,0.0,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,4.0,"  [Intro] Ooh-oh, ooh-woh Ooh-oh, ooh-woh  [Verse 1] You say you love me, I say you crazy We're nothing more than friends You're not my lover, more like a brother I known you since we were like ten, yeah  [Refrain] Don't mess it up, talking that shit Only gonna push me away, that's it! When you say you love me, that make me crazy Here we go again  [Pre-Chorus] Don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times  [Chorus] Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S  [Verse 2] Have you got no shame? You looking insane Turning up at my door It's two in the morning, the rain is pouring Haven't we been here before?  [Refrain] Don't mess it up, talking that shit Only gonna push me away, that's it! Have you got no shame? You looking insane Here we go again  [Pre-Chorus] So don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times  [Chorus] Haven't I made it obvious? (Haven't I made it?) Haven't I made it clear? (Haven't I made it clear?) Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? (Haven't I?) Want me to spell it out for you? (To spell it out for you?) F-R-I-E-N-D-S F-R-I-E-N-D-S  [Bridge] F-R-I-E-N-D-S That's how you f****** spell ""friends"" F-R-I-E-N-D-S Get that shit inside your head No, no, yeah, uh, ah F-R-I-E-N-D-S We're just friends  [Pre-Chorus] So don't go look at me with that look in your eye You really ain't going nowhere without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times  [Chorus] Haven't I made it obvious? (Have I not made it obvious?) Haven't I made it clear? (Yeah, I made it very clear) Want me to spell it out for you? (Yo) F-R-I-E-N-D-S (I said F-R-I-E-N-D-S) Haven't I made it obvious? (I made it very obvious) Haven't I made it clear? (I made it very clear) Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S  [Outro] Mmm, ooh, ooh, ooh Ah, ah-oh, ah-oh"
